"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1978-08","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","2.5","","","","1"
"1978-08","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.6","","","","1"
"1978-08","Nova Scotia","","Units","300","thousands","3","v730394","4","5.4","","","","1"
"1978-08","New Brunswick","","Units","300","thousands","3","v730395","5","4.6","","","","1"
"1978-08","Quebec","","Units","300","thousands","3","v730396","6","36.9","","","","1"
"1978-08","Ontario","","Units","300","thousands","3","v730397","7","76.2","","","","1"
"1978-08","Manitoba","","Units","300","thousands","3","v730398","8","13.1","","","","1"
"1978-08","Saskatchewan","","Units","300","thousands","3","v730399","9","5.7","","","","1"
"1978-08","Alberta","","Units","300","thousands","3","v730400","10","43.0","","","","1"
"1978-08","British Columbia","","Units","300","thousands","3","v730392","11","30.5","","","","1"
"1978-09","Canada","","Units","300","thousands","3","v730390","1","205.6","","","","1"
"1978-09","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","3.7","","","","1"
"1978-09","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.7","","","","1"
"1978-09","Nova Scotia","","Units","300","thousands","3","v730394","4","4.1","","","","1"
"1978-09","New Brunswick","","Units","300","thousands","3","v730395","5","4.7","","","","1"
"1978-09","Quebec","","Units","300","thousands","3","v730396","6","33.7","","","","1"
"1978-09","Ontario","","Units","300","thousands","3","v730397","7","73.6","","","","1"
"1978-09","Manitoba","","Units","300","thousands","3","v730398","8","5.6","","","","1"
"1978-09","Saskatchewan","","Units","300","thousands","3","v730399","9","5.2","","","","1"
"1978-09","Alberta","","Units","300","thousands","3","v730400","10","46.4","","","","1"
"1978-09","British Columbia","","Units","300","thousands","3","v730392","11","27.9","","","","1"
"1978-10","Canada","","Units","300","thousands","3","v730390","1","213.4","","","","1"
"1978-10","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","3.3","","","","1"
"1978-10","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.9","","","","1"
